rsID	effect_allele	effect_weight	allelefrequency_effect	locus_name	OR	GeneName
rs646776	T	0.17395330712343798	0.77	1p13.3 (SORT1)	1.19	CELSR2
rs17114036	A	0.1570037488096647	0.92	1p32.2 (PPAP2B)	1.17	PLPP3
rs11206510	T	0.13976194237515863	0.82	1p32.3 (PCSK9)	1.15	No Gene Name
rs17465637	C	0.131028262406404	0.75	1q41 (MIA3)	1.14	MIA3
rs6725887	C	0.1570037488096647	0.13	2q33.1 (WDR12)	1.17	WDR12
rs9818870	T	0.13976194237515863	0.15	3q22.3 (MRAS)	1.15	MRAS
rs17609940	G	0.06765864847381486	0.79	6p21.31 (ANKS1A)	1.07	ANKS1A
rs9349379	G	0.11332868530700327	0.43	6p24.1 (PHACTR1)	1.12	PHACTR1
rs12190287	C	0.0769610411361284	0.63	6q23.2 (TCF21)	1.08	TCF21
rs3798220	C	0.3852624007906449	0.01	6q25.3 (LPA)	1.47	LPA
rs10455872	G	0.5306282510621704	0.07	6q25.3 (LPA)	1.7	LPA
rs11556924	C	0.08617769624105241	0.64	7q32.2 (ZC3HC1)	1.09	ZC3HC1
rs4977574	G	0.25464221837358075	0.55	9p21.3 (CDKN2A)	1.29	CDKN2B-AS1
rs9411489	T	0.09531017980432493	0.21	9q34.2 (ABO)	1.1	No Gene Name
rs1746048	C	0.1570037488096647	0.86	10q11.21 (CXCL12)	1.17	No Gene Name
rs12413409	G	0.11332868530700327	0.9	10q24.32 (CYP17A1)	1.12	CNNM2
rs964184	G	0.12221763272424911	0.13	11q23.3 (APOA5)	1.13	ZPR1
rs2259816	T	0.0769610411361284	0.35	12q24 (HNF1A)	1.08	HNF1A
rs3184504	T	0.12221763272424911	0.48	12q24.12 (SH2B3)	1.13	SH2B3
rs4773144	G	0.06765864847381486	0.41	13q34 (COL4A1)	1.07	COL4A1 (Varview), COL4A2
rs2895811	C	0.06765864847381486	0.45	14q32.2 (HHIPL1)	1.07	HHIPL1
rs3825807	T	0.0769610411361284	0.57	15q25.1 (ADAMTS7)	1.08	ADAMTS7
rs12936587	G	0.06765864847381486	0.53	17p11.2 (RASD1)	1.07	No Gene Name
rs216172	C	0.06765864847381486	0.64	17p13.3 (SMG6)	1.07	SMG6
rs46522	T	0.058268908123975824	0.48	17q21.32 (UBE2Z)	1.06	UBE2Z
rs1122608	G	0.13976194237515863	0.77	19p13.2 (LDLR)	1.15	SMARCA4
rs9982601	T	0.1823215567939546	0.13	21q22.11 (KCNE2)	1.2	No Gene Name
